KEY,en,notes,sp,fr,de,it,pt-br,zh
CURRENT_LANGUAGE_NAME,English,"put ""espanol"" in the spanish column, ""francois"" in the french one, etc. Limited text box space so abbreviate if necessary",Español,Français,Deutsch,Italiano,Português (Brasil),中文
CURRENT_LANGUAGE_SHIPPABLE,yes,"put ""yes"" if the language is shippable and ""no"" if its not ready yet. this is not displayed, just used to determine if the language should show in the UI selector",yes,yes,yes,yes,yes,yes
,,,,,,,,
SONG_UNLOCK_CREDITS_1,"""Get in the Cage"" is now in the radio playlist!",,¡Se ha añadido «Get in the Cage» a la lista de la radio!,«&nbsp;L'entrée en cage&nbsp;» est dispo dans la liste de lecture radio&nbsp;!,„Get in the Cage“ kann jetzt im Radio laufen!,"""Get in the Cage"" è ora nella playlist della radio!","""Get in the Cage"" foi adicionada à lista de reprodução de rádio!",“Get in the Cage” 现在已加入电台播放列表！
SONG_UNLOCK_CREDITS_2,"""Future Meets the Past"" is now in the radio playlist!",,¡Se ha añadido «Future Meets the Past» a la lista de la radio!,«&nbsp;Le futur face au passé&nbsp;» est dispo dans la liste de lecture radio&nbsp;!,„Future Meets the Past“ kann jetzt im Radio laufen!,"""Future Meets the Past"" è ora nella playlist della radio!","""Future Meets the Past"" foi adicionada à lista de reprodução de rádio!",“Future Meets the Past” 现在已加入电台播放列表！
,,,,,,,,
,,,,,,,,
CONTROL_BINDING_UNKNOWN,Unknown,,Desconocido,Inconnu,Unbekannt,Sconosciuto,Desconhecido,未知
CONTROL_BINDING_ANY,Any Button,,Cualquier botón,N'importe quelle touche,Beliebige Taste,Qualsiasi pulsante,Qualquer botão,任意按钮
CONTROL_BINDING_LEFTCLICK,Left Click,,Clic izquierdo,Clic gauche,Linksklick,Clic sinistro,Botão esquerdo do mouse,左键点击
CONTROL_BINDING_RIGHTCLICK,Right Click,,Clic derecho,Clic droit,Rechtsklick,Clic destro,Botão direito do mouse,右键点击
CONTROL_BINDING_MIDDLECLICK,Middle Click,,Clic central,Clic molette,Mittlere Maustaste,Clic centrale,Botão do meio do mouse,中键点击
CONTROL_BINDING_MOUSE4,Mouse 4,,Ratón 4,Clic&nbsp;4,Maus 4,Mouse 4,Mouse 4,鼠标4
CONTROL_BINDING_MOUSE5,Mouse 5,,Ratón 5,Clic&nbsp;5,Maus 5,Mouse 5,Mouse 5,鼠标5
CONTROL_BINDING_MOUSEX,Mouse,,Ratón,Souris,Maus,Mouse,Mouse,鼠标
CONTROL_BINDING_MOUSEY,Mouse,,Ratón,Souris,Maus,Mouse,Mouse,鼠标
CONTROL_BINDING_MOUSEWHEELX,Mouse Wheel,,Rueda del ratón,Molette,Mausrad,Rotellina del mouse,Roda do mouse,鼠标滚轮
CONTROL_BINDING_MOUSEWHEELY,Mouse Wheel,,Rueda del ratón,Molette,Mausrad,Rotellina del mouse,Roda do mouse,鼠标滚轮
CONTROL_BINDING_NONE,,purposely empty,,,,,,
,,,,,,,,
ENEMY_FATWOMAN_DESC,"Melee attacker with Knockback.
Reflects projectiles. Units that contact it get knocked back.
Trample.",,"Atacante cuerpo a cuerpo con retroceso.
Devuelve los proyectiles. Las unidades que entran en contacto retroceden.
Pisotón.","Attaque au corps-à-corps avec Recul.
Renvoie les projectiles. Les unités qui le touchent sont repoussées.
Piétinement.","Nahkämpferin mit Rückstoß.
Reflektiert Geschosse. Einheiten, die sie berühren, werden zurückgestoßen.
Trampel.","Attaccante corpo a corpo con Contraccolpo.
Riflette i proiettili. Le unità che la colpiscono vengono respinte indietro.
Calpestamento.","Agressor corpo-a-corpo com empurrão
Reflete projéteis. Unidades que atacam ou entram em contato são empurradas.
Atropelamento.","近战攻击者，具有击退效果。
反射投射物。
与其接触的单位将被击退。"
EABILITY_BIRTH_NAME,Birth,,Nacimiento,Naissance,Gebären,Nascita,Nascimento,出生
,,,,,,,,
SPECIAL_STRAY_BUNNY,Bunny,,Conejito,Lapin,Hase,Coniglietto,Coelho,兔子
SPECIAL_STRAY_BEAVER,Beaver,,Castor,Castor,Biber,Castoro,Castor,海狸
SPECIAL_STRAY_PIG,Pig,,Cerdo,Cochon,Schwein,Maiale,Porco,猪
SPECIAL_STRAY_DOG,Dog,,Perro,Chien,Hund,Cane,Cachorro,狗
SPECIAL_STRAY_SKUNK,Skunk,,Mofeta,Mouffette,Stinktier,Puzzola,Gambá,臭鼬
SPECIAL_STRAY_PORCUPINE,Porcupine,,Puercoespín,Porc-épic,Stacheltier,Porcospino,Porco-Espinho,豪猪
SPECIAL_STRAY_ISAAC,Isaac,,Isaac,Isaac,Isaac,Isaac,Isaac,艾萨克
SPECIAL_STRAY_EDMUND,Edmund,,Edmund,Edmund,Edmund,Edmund,Edmund,埃德蒙
SPECIAL_STRAY_TYLER,Tyler,,Tyler,Tyler,Tyler,Tyler,Tyler,泰勒
SPECIAL_STRAY_FIJIMERMAID,Fiji Mermaid,,Sirena de Fiyi,Sirène des Fidji,Fidschi-Meerjungfrau,Sirena delle Fiji,Sereia de Fiji,斐济美人鱼
SPECIAL_STRAY_JERSEYDEVIL,Jersey Devil,,Demonio de Jersey,Diable du Jersey,Jersey Devil,Diavolo del Jersey,Demônio de Jersey,泽西恶魔
SPECIAL_STRAY_SONICHU,Sonichu,,Sonichu,Sonichu,Sonichu,Sonichu,Sonichu,索尼楚
SPECIAL_STRAY_BIGFOOT,Bigfoot,,Bigfoot,Bigfoot,Bigfoot,Bigfoot,Pé-Grande,大脚怪
SPECIAL_STRAY_NESSIE,Nessie,,Nessie,Nessie,Nessie,Nessie,Nessie,尼斯湖水怪
SPECIAL_STRAY_GREY,Grey,,Grey,Gris,Grauer,Grigio,Cinza,格雷
SPECIAL_STRAY_MOTHMAN,Mothman,,Mothman,Homme-papillon,Mothman,Uomo Falena,Homem-Mariposa,蛾人
SPECIAL_STRAY_SLENDERMAN,Slenderman,,Slenderman,Slenderman,Slenderman,Slenderman,Slenderman,瘦长鬼影
,,,,,,,,
PAUSE_MENU_HEADER,Paused,,Pausa,Pause,Pause,In pausa,Pausado,暂停
PAUSE_MENU_BUTTON_RESUME,Resume,,Reanudar,Reprendre,Weiter,Riprendi,Continuar,继续
PAUSE_MENU_BUTTON_SETTINGS,Settings,,Ajustes,Réglages,Einstellungen,Impostazioni,Configurações,设置
PAUSE_MENU_BUTTON_QUITTOMENU,Save and Quit to Menu,,Guardar y salir al menú,Sauvegarder et retourner au menu,Speichern und zurück zum Menü,Salva ed esci al menu,Salvar e sair para o menu,保存并退出到菜单
PAUSE_MENU_BUTTON_QUITTODESKTOP,Save and Quit to Desktop,,Guardar y salir al escritorio,Sauvegarder et quitter le jeu,Speichern und beenden,Salva ed esci al desktop,Salvar e sair para a área de trabalho,保存并退出到桌面
PAUSE_MENU_BUTTON_ABANDONRUN,Abandon Adventure,,Abandonar aventura,Abandonner l'aventure,Abenteuer abbrechen,Abbandona avventura,Abandonar aventura,放弃冒险
PAUSE_MENU_BUTTON_ABANDONFIGHT,Concede Fight,,Rendirse,Déclarer forfait,Kampf aufgeben,Rinuncia al combattimento,Desistir da luta,放弃战斗
PAUSE_MENU_BUTTON_SKIPTUTORIAL,Skip Tutorial,,Omitir tutorial,Passer le didacticiel,Tutorial überspringen,Salta il tutorial,Pular tutorial,跳过教程
PAUSE_MENU_BUTTON_BACK,Back,,Atrás,Retour,Zurück,Indietro,Voltar,返回
PAUSE_MENU_BUTTON_GAMESETTINGS,Game Settings,,Ajustes de juego,Réglages du jeu,Gameplay,Impostazioni di gioco,Jogabilidade,游戏设置
PAUSE_MENU_BUTTON_VIDEOSETTINGS,Video Settings,,Ajustes de vídeo,Réglages vidéo,Video,Impostazioni video,Vídeo,视频设置
PAUSE_MENU_BUTTON_AUDIOSETTINGS,Audio Settings,,Ajustes de sonido,Réglages audio,Audio,Impostazioni audio,Áudio,音频设置
PAUSE_MENU_BUTTON_CONTROLS,Controls,,Controles,Commandes,Steuerung,Controlli,Controles,控制
SETTINGS_MENU_HEADER,Settings,,Ajustes,Réglages,Einstellungen,Impostazioni,Configurações,设置
SETTINGS_GAME_HEADER,Game Settings,,Ajustes de juego,Réglages du jeu,Gameplay,Impostazioni di gioco,Jogabilidade,游戏设置
SETTINGS_LANGUAGE_LABEL,Language,,Idioma,Langue,Sprache,Lingua,Idioma,语言
SETTINGS_HUMPING_LABEL,Humping Animations,,Animaciones de ñiqui ñiqui,Animations de coït,Paarungsanimation,Animazioni di accoppiamento,Animações impróprias,贴贴动画
SETTINGS_HUMPING_OPT_NORMAL,Normal,,Normales,Normales,Normal,Normali,Normal,普通
SETTINGS_HUMPING_OPT_SAFE,Safe,,Seguras,Tout public,Kinderfreundlich,Sicure,Seguro,安全
SETTINGS_HUMPING_OPT_RANDOM,Random,,Al azar,Aléatoires,Zufall,Casuali,Aleatório,随机
SETTINGS_AUTOSELECT_LABEL,Autoselect Basic Actions,,Autoseleccionar acciones básicas,Autosélection des actions de base,Grundaktionen automatisch auswählen,Selezione automatica azioni di base,Selecionar ações básicas automaticamente,自动选择基础动作
SETTINGS_DOUBLECLICK_LABEL,Targeting Empty Tiles Requires Double Click,,Es necesario hacer doble clic para marcar casillas vacías,Double-clic pour cibler une case vide,Anvisieren leerer Felder erfordert Doppelklick,Per selezionare caselle vuote è necessario un doppio clic,Mirar em espaços vazios requer clique duplo,目标为空格需要双击
SETTINGS_DOUBLECLICK_LABEL_GAMEPAD,Targeting Empty Tiles Requires Double Press,,Es necesario presionar dos veces para marcar casillas vacías,Double appui pour cibler une case vide,Anvisieren leerer Felder erfordert doppelten Tastendruck,Per selezionare caselle vuote è necessario una doppia pressione,Mirar em espaços vazios requer pressionar duas vezes,目标为空格需要双按
SETTINGS_MAXSTATUSES_LABEL,Max Statuses Shown Before Collapse,,Máximo de estados mostrados antes de ocultarlos,Statuts max. affichés avant réduction,Max. Anzahl Statuseffekte vor Verkleinerung,Numero massimo di stati visualizzati prima della chiusura,Mostrar atributos máximos antes de colapsar,最大状态显示数量（超过则折叠）
SETTINGS_MAXSTATUSES_OPT_0,Hover Only,,Solo pasar el cursor,Survol uniquement,Nur bei Hover,Solo al passaggio del cursore,Apenas passar,仅悬停显示
SETTINGS_COLLAPSEELITEBUFFS_LABEL,Collapse Multiple Elite Buffs,,Ocultar varias ventajas de élite,Réduire les bonus d'élite des boss,Mehrere Elitestärkungen zusammenfassen,Chiudi bonus élite multipli,Colapsar múltiplos reforços de elite,折叠多个精英增益
SETTINGS_COMBATSPEED_LABEL,Combat Speed,,Velocidad de combate,Vitesse de combat,Kampfgeschwindigkeit,Velocità di combattimento,Velocidade do combate,战斗速度
SETTINGS_TOOLTIPSIZE_LABEL,Tooltip Size,,Tamaño de información,Taille des infobulles,Größe von Tooltipps,Dimensione suggerimenti,Tamanho das dicas,提示大小
SETTINGS_STATUSBARSIZE_LABEL,Status Bar Size,,Tamaño de barra de estado,Taille de la barre de statut,Größe der Statusleiste,Dimensione barra di stato,Tamanho da barra de estado,状态栏大小
SETTINGS_SAVEFILEBACKUP_LABEL,Save File Backup Period,,Intervalo de guardado de archivos,Fréquence des sauvegardes auto.,Backupfrequenz von Speicherständen,Frequenza backup dei salvataggi,Frequência de backup de salvamentos,存档备份周期
SETTINGS_SAVEFILEBACKUP_OPT_15,15 min,,15 min,15&nbsp;min,15 Min.,15 min,15min,15 分钟
SETTINGS_SAVEFILEBACKUP_OPT_30,30 min,,30 min,30&nbsp;min,30 Min.,30 min,30min,30 分钟
SETTINGS_SAVEFILEBACKUP_OPT_60,1 hr,,1 h,1&nbsp;h,1 Std.,1 ora,1h,1 小时
SETTINGS_SAVEFILEBACKUP_OPT_120,2 hr,,2 h,2&nbsp;h,2 Std.,2 ore,2h,2 小时
SETTINGS_SAVEFILEBACKUP_OPT_0,Never,,Nunca,Jamais,Nie,Mai,Nunca,从不
SETTINGS_VIDEO_HEADER,Video Settings,,Ajustes de vídeo,Réglages vidéo,Video,Impostazioni video,Vídeo,视频设置
SETTINGS_FULLSCREEN_LABEL,Fullscreen,,Pantalla completa,Plein écran,Vollbild,Schermo intero,Tela cheia,全屏
SETTINGS_ANTIALIAS_LABEL,Antialias (MSAA),,Antialiasing (MSAA),Anticrénelage (MSAA),Antialiasing (MSAA),Antialias (MSAA),Antialiasing (MSAA),抗锯齿 (MSAA)
SETTINGS_ANTIALIAS_OPT_0,Off,,No,Désactivé,Aus,Disattivato,Não,关闭
SETTINGS_VSYNC_LABEL,VSync,,Sincronización vertical,Synchronisation verticale,VSync,V-Sync,VSync,垂直同步
SETTINGS_RENDERSCALE_LABEL,Render Scale,,Escala de renderizado,Échelle de rendu,Render-Skalierung,Scala di rendering,Escala de renderização,渲染比例
SETTINGS_VIGNETTE_LABEL,Vignette Flicker,,Parpadeo de viñeta,Effet de vignette clignotant,Vignette-Flimmern,Sfarfallio della vignettatura,Tremor de vinheta,暗角闪烁
SETTINGS_VIGNETTE_OPT_NORMAL,Normal,,Normal,Normal,Normal,Normale,Normal,普通
SETTINGS_VIGNETTE_OPT_LOW,Low,,Bajo,Faible,Niedrig,Basso,Baixo,低
SETTINGS_VIGNETTE_OPT_NONE,None,,Nada,Aucun,Aus,Nessuno,Nenhum,无
SETTINGS_NOISEGRAIN_LABEL,Noise & Grain,,Ruido y granulado,Effets de bruit et de grain,Rauschen & Körnung,Rumore e grana,Interferência e granulação,噪点与颗粒
SETTINGS_NOISEGRAIN_OPT_NORMAL,Normal,,Normal,Normal,Normal,Normale,Normal,普通
SETTINGS_NOISEGRAIN_OPT_MEDIUM,No Hair,,Sin pelo,Pas de cheveux,Keine Haare,Niente peli,Sem pelos,无头发
SETTINGS_NOISEGRAIN_OPT_LOW,No Dust,,Sin polvo,Pas de poussière,Keine Staubkörner,Niente polvere,Sem poeira,无尘埃
SETTINGS_NOISEGRAIN_OPT_NONE,None,,Nada,Aucun,Aus,Nessuno,Nenhum,无
SETTINGS_CURSORMODE_LABEL,Cursor Mode,,Modo de cursor,Mode curseur,Mauszeigermodus,Modalità cursore,Modo de cursor,光标模式
SETTINGS_CURSORMODE_OPT_INGAME,In Game,,Juego,En jeu,Spiel,Di gioco,Jogo,游戏中
SETTINGS_CURSORMODE_OPT_DEVICE,Device,,Dispositivo,Appareil,Gerät,Del dispositivo,Dispositivo,设备
SETTINGS_AUDIO_HEADER,Audio Settings,,Ajustes de sonido,Réglages audio,Audio,Impostazioni audio,Áudio,音频设置
SETTINGS_MASTERVOLUME,Master Volume,,Volumen principal,Volume principal,Gesamtlautstärke,Volume principale,Volume principal,主音量
SETTINGS_MUSICVOLUME,Music Volume,,Volumen de música,Musique,Musik,Volume musica,Volume da música,音乐音量
SETTINGS_SFXVOLUME,SFX Volume,,Volumen de efectos,Effets sonores,Soundeffekte,Volume effetti sonori,Volume de efeitos,音效音量
SETTINGS_MEOWVOLUME,Meow Volume,,Volumen de maullidos,Miaulements,Miauen,Volume miagolii,Volume de miados,喵喵音量
SETTINGS_HOUSEMEOWVOLUME,Meow Volume (House),,Volumen de maullidos (casa),Miaulements (maison),Miauen (im Haus),Volume miagolii (in casa),Volume de miados (casa),喵喵音量（房屋）
SETTINGS_KEYCONTROLS_HEADER,Keyboard Controls,,Controles de teclado,Commandes au clavier,Tastatur,Controlli tastiera,Teclado,键盘控制
SETTINGS_PADCONTROLS_HEADER,Gamepad Controls,,Controles de mando,Commandes à la manette,Gamepad,Controlli gamepad,Controle,手柄控制
SETTINGS_CONTROLS_GENERAL_COLUMNHEADER,General,,General,En général,Allgemein,Generale,Geral,通用
SETTINGS_CONTROLS_HOTKEYS_COLUMNHEADER,Combat Hotkeys,,Atajos de combate,En combat,Kampf,Tasti di scelta rapida combattimento,Teclas rápidas de combate,战斗快捷键
SETTINGS_CONTROLS_ACTIONS_COLUMNHEADER,Actions,,Acciones,Actions,Aktionen,Azioni,Ações,动作
SETTINGS_CONTROLS_RESET,Reset Defaults,,Restaurar por defecto,Par défaut,Zurücksetzen,Ripristina predefiniti,Restaurar padrões,重置默认
SETTINGS_CONTROLBINDING_SELECT,Select,,Seleccionar,Sélectionner,Auswählen,Seleziona,Selecionar,选择
SETTINGS_CONTROLBINDING_EXAMINE,Examine,,Examinar,Examiner,Untersuchen,Esamina,Examinar,查看
SETTINGS_CONTROLBINDING_TACTIVALVIEW,Tactical View,,Vista táctica,Vue tactique,Taktische Ansicht,Visuale tattica,Visão tática,战术视图
SETTINGS_CONTROLBINDING_CANCEL,Cancel,,Cancelar,Annuler,Abbrechen,Annulla,Cancelar,取消
SETTINGS_CONTROLBINDING_PAUSE,Pause,,Pausa,Mettre en pause,Pause,Pausa,Pausar,暂停
SETTINGS_CONTROLBINDING_ZOOMIN,Zoom In,,Acercar,Zoomer,Hereinzoomen,Zoom avanti,Aproximar,放大
SETTINGS_CONTROLBINDING_ZOOMOUT,Zoom Out,,Alejar,Dézoomer,Herauszoomen,Zoom indietro,Afastar,缩小
SETTINGS_CONTROLBINDING_FLIPFURNITURE,Flip Furniture,,Girar mueble,Tourner les meubles,Möbel spiegeln,Capovolgi mobili,Virar móveis,翻转家具
SETTINGS_CONTROLBINDING_SKIPCUTSCENE,Skip Cutscene,,Omitir escena,Passer la cinématique,Zwischensequenz überspringen,Salta filmati,Pular cena,跳过过场动画
SETTINGS_CONTROLBINDING_HOTKEYMOVE,Move,,Movimiento,Se déplacer,Bewegen,Sposta,Mover,移动
SETTINGS_CONTROLBINDING_HOTKEYWEAPON,Weapon,,Arma,Armes,Waffe,Arma,Arma,武器
SETTINGS_CONTROLBINDING_HOTKEYTRINKET,Trinket,,Baratija,Babioles,Zubehör,Ciondolo,Acessório,饰品
SETTINGS_CONTROLBINDING_HOTKEYBASICATTACK,Basic Attack,,Ataque básico,Attaque de base,Grundangriff,Attacco base,Ataque básico,基础攻击
SETTINGS_CONTROLBINDING_HOTKEYSPELL1,Spell 1,,Hechizo 1,Sort&nbsp;1,Zauber 1,Incantesimo 1,Encantamento 1,技能 1
SETTINGS_CONTROLBINDING_HOTKEYSPELL2,Spell 2,,Hechizo 2,Sort&nbsp;2,Zauber 2,Incantesimo 2,Encantamento 2,技能 2
SETTINGS_CONTROLBINDING_HOTKEYSPELL3,Spell 3,,Hechizo 3,Sort&nbsp;3,Zauber 3,Incantesimo 3,Encantamento 3,技能 3
SETTINGS_CONTROLBINDING_HOTKEYSPELL4,Spell 4,,Hechizo 4,Sort&nbsp;4,Zauber 4,Incantesimo 4,Encantamento 4,技能 4
SETTINGS_CONTROLBINDING_HOTKEYSPELL5,Spell 5,,Hechizo 5,Sort&nbsp;5,Zauber 5,Incantesimo 5,Encantamento 5,技能 5
SETTINGS_CONTROLBINDING_HOTKEYENDTURN,End Turn,,Terminar turno,Fin du tour,Zug beenden,Fine del turno,Finalizar turno,结束回合
SETTINGS_CONTROLBINDING_CURSOR,Cursor,,Cursor,Curseur,Mauszeiger,Cursore,Cursor,光标
SETTINGS_CONTROLBINDING_NAVLEFT,Nav Left,,Mover izquierda,Nav. à gauche,Nach links,Naviga a sinistra,Nav. esq,向左导航
SETTINGS_CONTROLBINDING_NAVRIGHT,Nav Right,,Mover derecha,Nav. à droite,Nach rechts,Naviga a destra,Nav. dir,导航 右
SETTINGS_CONTROLBINDING_NAVUP,Nav Up,,Mover arriba,Nav en haut,Nach oben,Naviga su,Nav. cima,导航 上
SETTINGS_CONTROLBINDING_NAVDOWN,Nav Down,,Mover abajo,Nav. en bas,Nach unten,Naviga giù,Nav. baixo,导航 下
SETTINGS_CONTROLBINDING_NAVFORWARD,Nav Forward,,Adelante,Nav. en avant,Nach vorn,Naviga in avanti,Nav. frente,导航 前进
SETTINGS_CONTROLBINDING_NAVBACKWARD,Nav Backward,,Atrás,Nav. en arrière,Zurück,Naviga indietro,Nav. trás,导航 后退
SETTINGS_CONTROLBINDING_INVENTORY,Inventory,,Inventario,Inventaire,Inventar,Inventario,Inventário,物品栏
SETTINGS_CONTROLBINDING_PIPE,Pipe Shortcut,,Atajo de tubería,Raccourci tuyau,Kürzel: Rohr,Scorciatoia tubo,Atalho de cano,管道快捷键
SETTINGS_CONTROLBINDING_BOX,Box Shortcut,,Atajo de caja,Raccourci boîte,Kürzel: Box,Scorciatoia scatola,Atalho de caixa,箱子快捷键
SETTINGS_CONTROLBINDING_CAMERA,Camera,,Cámara,Caméra,Kamera,Telecamera,Câmera,摄像机
,,,,,,,,
MAIN_MENU_PLAY,Play,,Jugar,Jouer,Spielen,Gioca,Jogar,开始游戏
MAIN_MENU_SETTINGS,Settings,,Ajustes,Réglages,Einstellungen,Impostazioni,Configurações,设置
MAIN_MENU_QUIT,Quit,,Salir,Quitter,Beenden,Esci,Sair,退出
MAIN_MENU_CREDITS,Credits,,Créditos,Générique,Mitarbeitende,Riconoscimenti,Créditos,制作人员
MAIN_MENU_COMMUNITY_DISCORD,Community Discord,,Discord de la comunidad,Communauté Discord,Community Discord,Discord della community,Discord,社区 Discord
MAIN_MENU_MEOW,Meow,,Maullido,Miauler,Miau,Miao,Miau,喵
MAIN_MENU_DELETEFILE,Terminate,,Borrar,Exterminer,Terminieren,Termina,Apagar,终止
MAIN_MENU_DELETECONFIRMATION,"Are you sure you want to erase
save file {savefilenumber}?",,¿Seguro que quieres borrar el archivo de guardado {savefilenumber}?,Supprimer la sauvegarde {savefilenumber}&nbsp;?,Speicherstand&nbsp;{savefilenumber} wirklich löschen?,"Vuoi davvero cancellare
il file di salvataggio {savefilenumber}?","Tem certeza de que deseja
apagar o arquivo {savefilenumber}?",您确定要擦除保存文件 {savefilenumber} 吗？
SAVE_FILE_COMPLETION_PERCENT,{percent}% Complete,,{percent} % completado,Progression&nbsp;: {percent}&nbsp;%,{percent}&nbsp;% Fortschritt,Completamento: {percent}%,{percent}% concluído,{percent}% 完成度
,,,,,,,,
POPUP_TRY_ABANDON_RUN,"Are you sure you want to abandon this adventure? You will lose the cats, items, food, money, and furniture you found.",,"¿Seguro que quieres abandonar esta aventura? Perderás los gatos, los objetos, la comida, el dinero y los muebles que hayas encontrado.","Voulez-vous vraiment abandonner cette aventure&nbsp;? Vous perdrez vos chats, objets, nourriture, argent, meubles.","Willst du dein Abenteuer wirklich abbrechen? Du verlierst sämtliche Katzen, Gegenstände, Futter, Geld und Möbel, die du gefunden hast.","Vuoi davvero abbandonare quest'avventura? Perderai i gatti, gli oggetti, il cibo, i soldi e i mobili che hai trovato.","Tem certeza de que deseja abandonar esta aventura? Você perderá gatos, itens, comida, dinheiro e móveis que encontrou.",您确定要放弃这个冒险吗？您将失去找到的猫咪、物品、食物、金钱和家具。
POPUP_TRY_ABANDON_HOUSEBOSS,Are you sure you want to concede this fight? You will lose the cats participating in the fight.,,¿Seguro que quieres rendirte? Perderás los gatos que participen en la pelea.,Voulez-vous vraiment déclarer forfait&nbsp;? Vous perdrez les chats participant au combat.,"Willst du den Kampf wirklich aufgeben? Du verlierst sämtliche Katzen, die an dem Kampf teilgenommen haben.",Vuoi davvero rinunciare a questo combattimento? Perderai i gatti che partecipano al combattimento.,Tem certeza de que deseja desistir desta luta? Você perderá os gatos que estão lutando.,您确定要认输这场战斗吗？您将失去参与战斗的猫咪。
POPUP_TRY_SKIP_TUTORIAL,Are you sure you want to skip the tutorial?,,¿Seguro que quieres saltarte el tutorial?,Voulez-vous vraiment passer le didacticiel&nbsp;?,Willst du das Tutorial wirklich überspringen?,Vuoi davvero saltare il tutorial?,Tem certeza de que deseja pular o tutorial?,您确定要跳过教程吗？
POPUP_TRY_SAVESCUM_BATTLE,Are you sure you want to quit mid-fight? You will have to redo the fight,,¿Seguro que quieres abandonar a mitad del combate? Tendrás que empezarlo desde el principio.,Voulez-vous vraiment quitter en plein combat&nbsp;? Vous devrez rejouer le combat depuis le début,Willst du wirklich mitten im Kampf aufhören? Der Kampf beginnt beim nächsten Mal von vorn,Vuoi davvero abbandonare il combattimento a metà? Dovrai ripetere il combattimento,Tem certeza de que deseja sair no meio da luta? Você precisará refazê-la.,您确定要在战斗中途退出吗？您将不得不重新进行战斗
POPUP_TRY_SAVESCUM_HOUSEBOSS,Are you sure you want to quit mid-fight? You will have to redo the fight,,¿Seguro que quieres abandonar a mitad del combate? Tendrás que empezarlo desde el principio.,Voulez-vous vraiment quitter en plein combat&nbsp;? Vous devrez rejouer le combat depuis le début,Willst du wirklich mitten im Kampf aufhören? Der Kampf beginnt beim nächsten Mal von vorn,Vuoi davvero abbandonare il combattimento a metà? Dovrai ripetere il combattimento,Tem certeza de que deseja sair no meio da luta? Você precisará refazê-la.,您确定要在战斗中途退出吗？您将不得不重新进行战斗
POPUP_TRY_SAVESCUM_EVENT,Are you sure you want to quit mid-event? You will have to redo the event,,¿Seguro que quieres abandonar a mitad del evento? Tendrás que empezarlo desde el principio.,Voulez-vous vraiment quitter au milieu d'un événement&nbsp;? Vous devrez rejouer l'événement depuis le début,Willst du wirklich mitten im Ereignis aufhören? Das Ereignis beginnt beim nächsten Mal von vorn,Vuoi davvero abbandonare l'evento a metà? Dovrai ripetere l'evento,Tem certeza de que deseja sair no meio do evento? Você precisará refazê-lo.,您确定要在事件中途退出吗？您将不得不重新进行事件
POPUP_TRY_SAVESCUM_WARNING_1,", and Steven will give you a warning when you return.","these get stapled on after the ""are you sure you want to quit mid fight string""",¡Y Steven te mostrará una advertencia cuando vuelvas!,", et Steven vous donnera un avertissement à votre retour."," und Steven wird böse sein, wenn du zurückkehrst.", e Steven ti infliggerà un'ammonizione al tuo ritorno., e Steven vai chamar sua atenção quando você voltar.,，当您返回时，Steven会给您一个警告。
POPUP_TRY_SAVESCUM_WARNING_2,", and Steven will give you a [c:red]punishment[/c] when you return.",,¡Y Steven te [c:red]castigará[/c] cuando vuelvas!,", et Steven vous [c:red]punira[/c] à votre retour."," und Steven wird dich [c:red]bestrafen[/c], wenn du zurückkehrst.", e Steven ti infliggerà una [c:red]punizione[/c] al tuo ritorno., e Steven vai te dar uma [c:red]punição[/c] quando você voltar.,，当您返回时，Steven会给予您[c:red]惩罚[/c]。
